"Price","Mileage","City","State","Make","Model","vehicle age"
"41290","2218","Virginia Beach"," VA","Acura","MDXSH-AWD","3.0"
"30490","2225","Boulder"," CO","Acura","TLXFWD","4.0"
"31971","2268","Fort Pierce"," FL","Acura","RDXFWD","3.0"
"27952","2270","West Chester"," PA","Acura","TLXFWD","4.0"
"35900","2286","Oklahoma City"," OK","Acura","RDXAWD","3.0"
"23600","2286","Austin"," TX","Acura","ILXAutomatic","3.0"
"34888","2291","Miami"," FL","Acura","RDXFWD","3.0"
"47981","2297","Woodstock"," GA","Acura","MDXSH-AWD","3.0"
"27990","2300","El Cajon"," CA","Acura","TLXFWD","3.0"
"51771","2300","Naperville"," IL","Acura","MDXSH-AWD","3.0"
"21298","2302","Plantation"," FL","Acura","ILXAutomatic","3.0"
"23900","2327","Austin"," TX","Acura","ILXPremium","3.0"
"40000","2329","Chicago"," IL","Acura","RDXAWD","3.0"
"24990","2351","Clearwater"," FL","Acura","ILXAutomatic","3.0"
"53993","2361","Wichita"," KS","Acura","MDXSH-AWD","3.0"
"36790","2371","Morton Grove"," IL","Acura","RDXAWD","3.0"
"30990","2379","Clearwater"," FL","Acura","TLXFWD","3.0"
"27985","2394","Jenkintown"," PA","Acura","TLXFWD","4.0"
"25300","2396","Austin"," TX","Acura","ILXPremium","3.0"
"44771","2411","Naperville"," IL","Acura","RDXAWD","2.0"
"23995","2416","Roslyn"," NY","Acura","ILXAutomatic","3.0"
"44771","2423","Naperville"," IL","Acura","RDXAWD","2.0"
"35523","2429","Plano"," TX","Acura","RDXFWD","3.0"
"22900","2444","Austin"," TX","Acura","ILXAutomatic","3.0"
"45922","2475","Morton Grove"," IL","Acura","MDXSH-AWD","3.0"
"41999","2476","GILBERT"," AZ","Acura","MDXSH-AWD","4.0"
"42187","2496","Colorado Springs"," CO","Acura","MDXSH-AWD","4.0"
"46000","2498","Littleton"," CO","Acura","MDXSH-AWD","3.0"
"194000","2500","Littleton"," CO","Acura","NSXCoupe","3.0"
"23733","2515","Chantilly"," VA","Acura","ILXPremium","3.0"
"38986","2520","League City"," TX","Acura","MDXFWD","3.0"
"38993","2527","Wichita"," KS","Acura","TLXSH-AWD","2.0"
"189000","2535","Salt Lake City"," UT","Acura","NSXCoupe","3.0"
"24995","2551","Brentwood"," TN","Acura","ILXAutomatic","3.0"
"40993","2578","Wichita"," KS","Acura","TLXFWD","2.0"
"38687","2583","Colorado Springs"," CO","Acura","RDXAWD","3.0"
"46660","2599","Colorado Springs"," CO","Acura","MDXSH-AWD","3.0"
"41771","2605","Naperville"," IL","Acura","RDXAWD","2.0"
"27990","2617","Clearwater"," FL","Acura","TLXFWD","3.0"
"23676","2621","Langhorne"," PA","Acura","ILXAutomatic","4.0"
"30990","2631","Clearwater"," FL","Acura","TLXFWD","3.0"
"32363","2659","Boulder"," CO","Acura","TLXFWD","5.0"
"31995","2677","Cerritos"," CA","Acura","TLXSH-AWD","5.0"
"35687","2683","Colorado Springs"," CO","Acura","RDXAWD","3.0"
"36750","2687","Alexandria"," VA","Acura","RDXAWD","3.0"
"34600","2688","Austin"," TX","Acura","TLXFWD","3.0"
"24995","2712","Roslyn"," NY","Acura","ILXAutomatic","3.0"
"39900","2713","Naperville"," IL","Acura","RDXAWD","3.0"
"26500","2713","Norcross"," GA","Acura","TLXFWD","4.0"
"51969","2721","Hoffman Estates"," IL","Acura","MDXSH-AWD","3.0"
"27599","2725","Lindon"," UT","Acura","TLXSH-AWD","4.0"
"41983","2737","Fort Myers"," FL","Acura","MDXFWD","3.0"
"27888","2754","Dublin"," CA","Acura","TLXFWD","3.0"
"33620","2754","Overland Park"," KS","Acura","RDXAWD","3.0"
"46900","2758","Chicago"," IL","Acura","MDXFWD","3.0"
"23995","2761","Cleveland"," OH","Acura","ILXAutomatic","3.0"
"24995","2773","Brentwood"," TN","Acura","ILXAutomatic","3.0"
"28688","2800","Plantation"," FL","Acura","TLXFWD","3.0"
"34990","2832","Chapel Hill"," NC","Acura","TLXSH-AWD","3.0"
"36990","2857","Clearwater"," FL","Acura","RDXFWD","3.0"
"36703","2890","Morton Grove"," IL","Acura","RDXAWD","3.0"
"23500","2904","Pompano Beach"," FL","Acura","ILXTechnology","3.0"
"32995","2925","Cerritos"," CA","Acura","TLXSH-AWD","5.0"
"27977","2925","Hoffman Estates"," IL","Acura","TLXFWD","4.0"
"24006","2937","Royersford"," PA","Acura","ILXAutomatic","3.0"
"44960","2937","Pocatello"," ID","Acura","MDXSH-AWD","4.0"
"28000","2945","San Juan"," TX","Acura","ILXTechnology","3.0"
"30977","2954","Hoffman Estates"," IL","Acura","TLXFWD","3.0"
"40991","2975","Cleveland"," OH","Acura","RDXAWD","3.0"
"43985","2981","Jenkintown"," PA","Acura","MDXSH-AWD","3.0"
"24583","2987","Plano"," TX","Acura","ILXAutomatic","3.0"
"38260","2989","Tucson"," AZ","Acura","RDXFWD","3.0"
"28894","2992","Tampa"," FL","Acura","TLXFWD","4.0"
"47995","3001","El Paso"," TX","Acura","MDXSH-AWD","4.0"
"26990","3020","Clearwater"," FL","Acura","ILXAutomatic","3.0"
"32000","3020","Chicago"," IL","Acura","RDXFWD","3.0"
"42953","3025","Brooklyn"," NY","Acura","MDXSH-AWD","3.0"
"26675","3032","San Juan"," TX","Acura","TLXFWD","4.0"
"37995","3036","Brentwood"," TN","Acura","RDXAWD","3.0"
"36995","3044","Overland Park"," KS","Acura","RDXAWD","3.0"
"33984","3049","Highlands Ranch"," CO","Acura","TLXSH-AWD","3.0"
"51435","3063","Langhorne"," PA","Acura","MDXSH-AWD","3.0"
"30490","3066","Boulder"," CO","Acura","TLXFWD","4.0"
"28995","3073","Brentwood"," TN","Acura","TLXFWD","3.0"
"28621","3076","Torrance"," CA","Acura","TLXFWD","3.0"
"45495","3087","Roslyn"," NY","Acura","MDXSH-AWD","3.0"
"23995","3089","Brentwood"," TN","Acura","ILXAutomatic","3.0"
"27995","3100","Cleveland"," OH","Acura","TLXFWD","3.0"
"34595","3102","Scarsdale"," NY","Acura","RDXAWD","3.0"
"22722","3129","Chicago"," IL","Acura","ILXTechnology","3.0"
"42000","3132","Tulsa"," OK","Acura","MDXFWD","4.0"
"33988","3137","Fort Worth"," TX","Acura","TLXSH-AWD","4.0"
"38590","3141","Chapel Hill"," NC","Acura","RDXAWD","3.0"
"38550","3144","Reading"," PA","Acura","TLXSH-AWD","3.0"
"36000","3147","Littleton"," CO","Acura","RDXAWD","3.0"
"27988","3151","Fremont"," CA","Acura","TLXFWD","3.0"
"24800","3159","Austin"," TX","Acura","ILXAutomatic","3.0"
"46927","3172","Overland Park"," KS","Acura","MDXSH-AWD","3.0"
"38951","3176","Overland Park"," KS","Acura","RDXAWD","3.0"
"28500","3185","San Juan"," TX","Acura","TLXFWD","3.0"
"45900","3191","Naperville"," IL","Acura","MDXSH-AWD","3.0"
"30700","3197","Austin"," TX","Acura","TLXFWD","3.0"
"34999","3199","Boise"," ID","Acura","MDXSH-AWD","4.0"
"33373","3205","Boulder"," CO","Acura","TLXFWD","5.0"
"25199","3206","Verona"," NJ","Acura","TLXFWD","4.0"
"35887","3206","Wappingers Falls"," NY","Acura","RDXAWD","3.0"
"36990","3208","Clearwater"," FL","Acura","RDXFWD","3.0"
"20485","3211","Larchmont"," NY","Acura","ILX5-Speed","5.0"
"45739","3222","Morton Grove"," IL","Acura","MDXSH-AWD","3.0"
"21987","3222","Plantation"," FL","Acura","ILXAutomatic","3.0"
"30990","3224","Clearwater"," FL","Acura","TLXFWD","3.0"
"33990","3240","Clearwater"," FL","Acura","TLXFWD","3.0"
"30990","3242","Clearwater"," FL","Acura","TLXFWD","3.0"
"23166","3252","Larchmont"," NY","Acura","ILXPremium","3.0"
"28995","3253","Midway City"," CA","Acura","RDXFWD","3.0"
"38199","3278","Peoria"," AZ","Acura","RDXAWD","3.0"
"36015","3284","Overland Park"," KS","Acura","TLXFWD","3.0"
"39988","3301","Cockeysville"," MD","Acura","TLXSH-AWD","2.0"
"32595","3302","West Nyack"," NY","Acura","TLXFWD","3.0"
"43995","3309","Larchmont"," NY","Acura","MDXSH-AWD","3.0"
"29300","3310","Verona"," NJ","Acura","TLXFWD","4.0"
"44000","3314","Littleton"," CO","Acura","MDXSH-AWD","4.0"
"22500","3319","Peoria"," AZ","Acura","ILXAutomatic","3.0"
"23600","3329","Austin"," TX","Acura","ILXAutomatic","3.0"
"28599","3340","Post Falls"," ID","Acura","RDXAWD","4.0"
"28250","3347","Bristol"," TN","Acura","TLXFWD","4.0"
"39995","3352","Brentwood"," TN","Acura","TLXSH-AWD","3.0"
"31995","3354","West Nyack"," NY","Acura","RDXAWD","3.0"
"44939","3386","Hoffman Estates"," IL","Acura","MDXSH-AWD","3.0"
"31993","3401","Wichita"," KS","Acura","RDXFWD","3.0"
"49755","3407","Cumming"," GA","Acura","MDXSH-AWD","3.0"
"27900","3419","Cary"," NC","Acura","TLXFWD","3.0"
"26984","3419","San Juan"," TX","Acura","ILXAutomatic","3.0"
